# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2.183           	1.13034198e+00	5.66331787e-01	5.64010189e-01	-2.32159816e-01	-1.16780472e-01	-1.15379344e-01	-7.00563547e-04	1.16079908e-03	5.65170988e-03	3.13876259e-17	5.65170988e-03	-5.65170988e-03
2.188           	1.13248903e+00	5.67442039e-01	5.65046987e-01	-2.39505148e-01	-1.20463546e-01	-1.19041602e-01	-7.10971833e-04	1.19752574e-03	5.66244513e-03	3.13980538e-17	5.66244513e-03	-5.66244513e-03
2.193           	1.13478621e+00	5.68627230e-01	5.66158984e-01	-2.46824584e-01	-1.24133701e-01	-1.22690883e-01	-7.21408901e-04	1.23412292e-03	5.67393107e-03	3.13779679e-17	5.67393107e-03	-5.67393107e-03
2.198           	1.13704933e+00	5.69794520e-01	5.67254809e-01	-2.53971177e-01	-1.27717448e-01	-1.26253729e-01	-7.31859264e-04	1.26985589e-03	5.68524665e-03	3.13994312e-17	5.68524665e-03	-5.68524665e-03
2.203           	1.13913865e+00	5.70875382e-01	5.68263269e-01	-2.61211249e-01	-1.31347961e-01	-1.29863289e-01	-7.42336016e-04	1.30605625e-03	5.69569326e-03	3.13846570e-17	5.69569326e-03	-5.69569326e-03
2.208           	1.14108126e+00	5.71880686e-01	5.69200577e-01	-2.68010854e-01	-1.34758250e-01	-1.33252604e-01	-7.52822810e-04	1.34005427e-03	5.70540631e-03	3.13978835e-17	5.70540631e-03	-5.70540631e-03
2.213           	1.14260894e+00	5.72678374e-01	5.69930569e-01	-2.74780519e-01	-1.38153589e-01	-1.36626930e-01	-7.63329256e-04	1.37390260e-03	5.71304471e-03	3.13854842e-17	5.71304471e-03	-5.71304471e-03
2.218           	1.14457866e+00	5.73697972e-01	5.70880688e-01	-2.81728474e-01	-1.41638083e-01	-1.40090391e-01	-7.73845727e-04	1.40864237e-03	5.72289330e-03	3.13854618e-17	5.72289330e-03	-5.72289330e-03
2.223           	1.14702522e+00	5.74960063e-01	5.72065156e-01	-2.89490654e-01	-1.45529697e-01	-1.43960957e-01	-7.84370274e-04	1.44745327e-03	5.73512610e-03	3.13804960e-17	5.73512610e-03	-5.73512610e-03
2.228           	1.14965229e+00	5.76309736e-01	5.73342553e-01	-2.96718341e-01	-1.49154071e-01	-1.47564270e-01	-7.94900791e-04	1.48359170e-03	5.74826144e-03	3.13786378e-17	5.74826144e-03	-5.74826144e-03
2.233           	1.15211634e+00	5.77577022e-01	5.74539320e-01	-3.03770209e-01	-1.52690550e-01	-1.51079659e-01	-8.05445377e-04	1.51885104e-03	5.76058171e-03	3.13815500e-17	5.76058171e-03	-5.76058171e-03
2.238           	1.15485947e+00	5.78987128e-01	5.75872344e-01	-3.11478400e-01	-1.56555201e-01	-1.54923200e-01	-8.16000552e-04	1.55739200e-03	5.77429736e-03	3.13872489e-17	5.77429736e-03	-5.77429736e-03
2.243           	1.15726021e+00	5.80223666e-01	5.77036542e-01	-3.18712351e-01	-1.60182743e-01	-1.58529609e-01	-8.26566966e-04	1.59356176e-03	5.78630104e-03	3.13832086e-17	5.78630104e-03	-5.78630104e-03
2.248           	1.15948196e+00	5.81371571e-01	5.78110385e-01	-3.26118601e-01	-1.63896441e-01	-1.62222160e-01	-8.37140318e-04	1.63059300e-03	5.79740978e-03	3.13891455e-17	5.79740978e-03	-5.79740978e-03
2.253           	1.16209038e+00	5.82714409e-01	5.79375974e-01	-3.33843554e-01	-1.67769497e-01	-1.66074057e-01	-8.47719820e-04	1.66921777e-03	5.81045192e-03	3.13805025e-17	5.81045192e-03	-5.81045192e-03
2.258           	1.16486685e+00	5.84141480e-01	5.80725367e-01	-3.41611232e-01	-1.71663915e-01	-1.69947316e-01	-8.58299635e-04	1.70805616e-03	5.82433423e-03	3.13750768e-17	5.82433423e-03	-5.82433423e-03
