# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
367             	6.18078636e-01	3.06565378e-01	3.11513258e-01	4.94787971e-01	2.48242025e-01	2.46545945e-01	8.48040064e-04	-2.47393985e-03	3.09039318e-03	5.75265045e-17	3.09039318e-03	-3.09039318e-03
368             	6.19969642e-01	3.07497846e-01	3.12471796e-01	4.97394959e-01	2.49546463e-01	2.47848496e-01	8.48983322e-04	-2.48697480e-03	3.09984821e-03	5.75246726e-17	3.09984821e-03	-3.09984821e-03
369             	6.21862450e-01	3.08431158e-01	3.13431293e-01	5.00013498e-01	2.50856671e-01	2.49156827e-01	8.49922020e-04	-2.50006749e-03	3.10931225e-03	5.75228534e-17	3.10931225e-03	-3.10931225e-03
370             	6.23757973e-01	3.09365781e-01	3.14392192e-01	5.02641108e-01	2.52171410e-01	2.50469698e-01	8.50856222e-04	-2.51320554e-03	3.11878986e-03	5.75210464e-17	3.11878986e-03	-3.11878986e-03
371             	6.25653635e-01	3.10300415e-01	3.15353220e-01	5.05280478e-01	2.53492025e-01	2.51788453e-01	8.51786058e-04	-2.52640239e-03	3.12826818e-03	5.75192510e-17	3.12826818e-03	-3.12826818e-03
372             	6.27550607e-01	3.11235657e-01	3.16314950e-01	5.07929255e-01	2.54817339e-01	2.53111916e-01	8.52711425e-04	-2.53964627e-03	3.13775303e-03	5.75174693e-17	3.13775303e-03	-3.13775303e-03
373             	6.29449280e-01	3.12171702e-01	3.17277577e-01	5.10587534e-01	2.56147399e-01	2.54440134e-01	8.53632482e-04	-2.55293767e-03	3.14724640e-03	5.75157043e-17	3.14724640e-03	-3.14724640e-03
374             	6.31348962e-01	3.13108198e-01	3.18240764e-01	5.13256566e-01	2.57482832e-01	2.55773734e-01	8.54549371e-04	-2.56628283e-03	3.15674481e-03	5.75139510e-17	3.15674481e-03	-3.15674481e-03
375             	6.33249919e-01	3.14045280e-01	3.19204639e-01	5.15935962e-01	2.58823443e-01	2.57112519e-01	8.55462080e-04	-2.57967981e-03	3.16624959e-03	5.75122117e-17	3.16624959e-03	-3.16624959e-03
376             	6.35150267e-01	3.14982008e-01	3.20168258e-01	5.18625001e-01	2.60168871e-01	2.58456130e-01	8.56370718e-04	-2.59312501e-03	3.17575133e-03	5.75104892e-17	3.17575133e-03	-3.17575133e-03
377             	6.37054914e-01	3.15920840e-01	3.21134074e-01	5.21323435e-01	2.61518993e-01	2.59804442e-01	8.57275290e-04	-2.60661717e-03	3.18527457e-03	5.75087786e-17	3.18527457e-03	-3.18527457e-03
378             	6.38961688e-01	3.16860688e-01	3.22101000e-01	5.24031252e-01	2.62873802e-01	2.61157450e-01	8.58175848e-04	-2.62015626e-03	3.19480844e-03	5.75070790e-17	3.19480844e-03	-3.19480844e-03
379             	6.40864006e-01	3.17798262e-01	3.23065745e-01	5.26748320e-01	2.64233232e-01	2.62515087e-01	8.59072419e-04	-2.63374160e-03	3.20432003e-03	5.75054003e-17	3.20432003e-03	-3.20432003e-03
380             	6.42773441e-01	3.18739351e-01	3.24034090e-01	5.29473929e-01	2.65596930e-01	2.63877000e-01	8.59965090e-04	-2.64736965e-03	3.21386721e-03	5.75037277e-17	3.21386721e-03	-3.21386721e-03
381             	6.44682281e-01	3.19680093e-01	3.25002188e-01	5.32209413e-01	2.66965560e-01	2.65243853e-01	8.60853951e-04	-2.66104706e-03	3.22341140e-03	5.75020696e-17	3.22341140e-03	-3.22341140e-03
382             	6.46589731e-01	3.20620097e-01	3.25969635e-01	5.34953828e-01	2.68338653e-01	2.66615175e-01	8.61738936e-04	-2.67476914e-03	3.23294866e-03	5.75004297e-17	3.23294866e-03	-3.23294866e-03
383             	6.48498110e-01	3.21560524e-01	3.26937586e-01	5.37706171e-01	2.69715706e-01	2.67990465e-01	8.62620298e-04	-2.68853086e-03	3.24249055e-03	5.74987993e-17	3.24249055e-03	-3.24249055e-03
384             	6.50406718e-01	3.22501024e-01	3.27905694e-01	5.40467010e-01	2.71097003e-01	2.69370007e-01	8.63497914e-04	-2.70233505e-03	3.25203359e-03	5.74971844e-17	3.25203359e-03	-3.25203359e-03
385             	6.52316663e-01	3.23442147e-01	3.28874517e-01	5.43236987e-01	2.72482865e-01	2.70754122e-01	8.64371676e-04	-2.71618493e-03	3.26158332e-03	5.74955845e-17	3.26158332e-03	-3.26158332e-03
386             	6.54227834e-01	3.24383841e-01	3.29843994e-01	5.46015308e-01	2.73872896e-01	2.72142412e-01	8.65241683e-04	-2.73007654e-03	3.27113917e-03	5.74939940e-17	3.27113917e-03	-3.27113917e-03
387             	6.56139079e-01	3.25325533e-01	3.30813545e-01	5.48801182e-01	2.75266699e-01	2.73534483e-01	8.66107999e-04	-2.74400591e-03	3.28069539e-03	5.74924195e-17	3.28069539e-03	-3.28069539e-03
388             	6.58050256e-01	3.26267157e-01	3.31783099e-01	5.51594201e-01	2.76664071e-01	2.74930130e-01	8.66970666e-04	-2.75797100e-03	3.29025128e-03	5.74908560e-17	3.29025128e-03	-3.29025128e-03
389             	6.59961881e-01	3.27208968e-01	3.32752913e-01	5.54394491e-01	2.78065075e-01	2.76329416e-01	8.67829501e-04	-2.77197246e-03	3.29980941e-03	5.74893061e-17	3.29980941e-03	-3.29980941e-03
390             	6.61873613e-01	3.28150793e-01	3.33722820e-01	5.57202700e-01	2.79470035e-01	2.77732665e-01	8.68684727e-04	-2.78601350e-03	3.30936806e-03	5.74877649e-17	3.30936806e-03	-3.30936806e-03
391             	6.63784944e-01	3.29092377e-01	3.34692566e-01	5.60018875e-01	2.80878974e-01	2.79139901e-01	8.69536367e-04	-2.80009438e-03	3.31892472e-03	5.74862344e-17	3.31892472e-03	-3.31892472e-03
392             	6.65695882e-01	3.30033728e-01	3.35662154e-01	5.62842651e-01	2.82291710e-01	2.80550941e-01	8.70384358e-04	-2.81421326e-03	3.32847941e-03	5.74847153e-17	3.32847941e-03	-3.32847941e-03
393             	6.67606629e-01	3.30974948e-01	3.36631681e-01	5.65673339e-01	2.83707898e-01	2.81965441e-01	8.71228632e-04	-2.82836669e-03	3.33803314e-03	5.74832095e-17	3.33803314e-03	-3.33803314e-03
394             	6.69517655e-01	3.31916274e-01	3.37601380e-01	5.68510585e-01	2.85127362e-01	2.83383223e-01	8.72069373e-04	-2.84255293e-03	3.34758827e-03	5.74817120e-17	3.34758827e-03	-3.34758827e-03
395             	6.71428218e-01	3.32857337e-01	3.38570881e-01	5.71354323e-01	2.86550068e-01	2.84804255e-01	8.72906455e-04	-2.85677162e-03	3.35714109e-03	5.74802246e-17	3.35714109e-03	-3.35714109e-03
396             	6.73336847e-01	3.33797401e-01	3.39539446e-01	5.74204556e-01	2.87976018e-01	2.86228538e-01	8.73739912e-04	-2.87102278e-03	3.36668423e-03	5.74787478e-17	3.36668423e-03	-3.36668423e-03
397             	6.75244128e-01	3.34736759e-01	3.40507368e-01	5.77060889e-01	2.89405014e-01	2.87655875e-01	8.74569806e-04	-2.88530445e-03	3.37622064e-03	5.74772808e-17	3.37622064e-03	-3.37622064e-03
398             	6.77150621e-01	3.35675696e-01	3.41474925e-01	5.79922883e-01	2.90836837e-01	2.89086045e-01	8.75395987e-04	-2.89961441e-03	3.38575311e-03	5.74758255e-17	3.38575311e-03	-3.38575311e-03
399             	6.79056986e-01	3.36614544e-01	3.42442443e-01	5.82789908e-01	2.92271173e-01	2.90518736e-01	8.76218610e-04	-2.91394954e-03	3.39528493e-03	5.74743777e-17	3.39528493e-03	-3.39528493e-03
400             	6.80962142e-01	3.37552761e-01	3.43409381e-01	5.85662038e-01	2.93708057e-01	2.91953982e-01	8.77037599e-04	-2.92831019e-03	3.40481071e-03	5.74729426e-17	3.40481071e-03	-3.40481071e-03
401             	6.82865213e-01	3.38489907e-01	3.44375306e-01	5.88539821e-01	2.95147763e-01	2.93392058e-01	8.77852949e-04	-2.94269911e-03	3.41432607e-03	5.74715226e-17	3.41432607e-03	-3.41432607e-03
402             	6.84766356e-01	3.39426063e-01	3.45340293e-01	5.91423044e-01	2.96590187e-01	2.94832858e-01	8.78664615e-04	-2.95711522e-03	3.42383178e-03	5.74701130e-17	3.42383178e-03	-3.42383178e-03
403             	6.86665308e-01	3.40361101e-01	3.46304207e-01	5.94310670e-01	2.98034808e-01	2.96275862e-01	8.79472729e-04	-2.97155335e-03	3.43332654e-03	5.74687156e-17	3.43332654e-03	-3.43332654e-03
404             	6.88562884e-01	3.41295432e-01	3.47267451e-01	5.97201907e-01	2.99481230e-01	2.97720676e-01	8.80277154e-04	-2.98600953e-03	3.44281442e-03	5.74673350e-17	3.44281442e-03	-3.44281442e-03
405             	6.90459217e-01	3.42229121e-01	3.48230097e-01	6.00097577e-01	3.00929866e-01	2.99167710e-01	8.81078010e-04	-3.00048788e-03	3.45229609e-03	5.74659686e-17	3.45229609e-03	-3.45229609e-03
406             	6.92353249e-01	3.43161633e-01	3.49191616e-01	6.02998380e-01	3.02381065e-01	3.00617315e-01	8.81875235e-04	-3.01499190e-03	3.46176625e-03	5.74646182e-17	3.46176625e-03	-3.46176625e-03
407             	6.94243792e-01	3.44092377e-01	3.50151415e-01	6.05903783e-01	3.03834560e-01	3.02069223e-01	8.82668780e-04	-3.02951892e-03	3.47121896e-03	5.74632848e-17	3.47121896e-03	-3.47121896e-03
408             	6.96130824e-01	3.45021351e-01	3.51109473e-01	6.08812232e-01	3.05289575e-01	3.03522657e-01	8.83458673e-04	-3.04406116e-03	3.48065412e-03	5.74619696e-17	3.48065412e-03	-3.48065412e-03
409             	6.98014340e-01	3.45948549e-01	3.52065791e-01	6.11724124e-01	3.06746307e-01	3.04977817e-01	8.84244908e-04	-3.05862062e-03	3.49007170e-03	5.74606749e-17	3.49007170e-03	-3.49007170e-03
410             	6.99895636e-01	3.46874625e-01	3.53021011e-01	6.14638567e-01	3.08204311e-01	3.06434256e-01	8.85027431e-04	-3.07319283e-03	3.49947818e-03	5.74593995e-17	3.49947818e-03	-3.49947818e-03
411             	7.01775284e-01	3.47799864e-01	3.53975420e-01	6.17555622e-01	3.09663617e-01	3.07892005e-01	8.85806234e-04	-3.08777811e-03	3.50887642e-03	5.74581404e-17	3.50887642e-03	-3.50887642e-03
